contig	gc
299 	39.53
300 	45.32
301 	40.71
302 	40.99
303 	40.99
304 	43.51
305 	44.35
306 	39.05
307 	40.97
308 	42.26
309 	38.45
310 	41.52
311 	45.82
312 	39.53
313 	39.16
314 	40.40
315 	38.58
316 	44.85
317 	41.07
318 	41.92
319 	40.62
320 	38.90
321 	39.31
322 	38.13
323 	38.42
324 	40.31
325 	37.16
326 	40.99
327 	40.05
328 	39.61
329 	40.04
330 	40.33
331 	39.47
332 	36.01
333 	40.77
334 	42.52
335 	39.83
336 	37.01
337 	44.82
338 	42.89
339 	50.55
340 	38.40
341 	40.91
342 	41.04
343 	37.24
344 	39.91
345 	46.04
346 	38.92
347 	42.28
348 	42.30
349 	38.23
350 	40.20
351 	44.10
352 	45.88
353 	39.72
354 	41.78
355 	39.90
356 	41.01
357 	39.94
358 	45.19
359 	40.63
360 	37.68
361 	42.59
362 	38.74
363 	41.24
364 	41.58
365 	41.59
366 	35.76
367 	39.86
368 	41.92
369 	45.76
370 	41.17
371 	41.27
372 	42.84
373 	40.91
374 	39.21
375 	44.31
376 	40.33
377 	40.63
378 	38.06
379 	42.93
380 	50.64
381 	39.13
382 	38.79
383 	39.15
384 	38.67
385 	39.46
386 	39.84
387 	39.23
388 	41.55
389 	38.81
390 	43.45
391 	41.49
392 	42.58
393 	44.88
394 	46.90
395 	44.06
396 	42.25
397 	40.92
398 	40.18
399 	40.47
400 	40.16
401 	39.45
402 	38.26
403 	37.65
404 	38.04
405 	40.61
406 	43.28
407 	41.14
408 	40.94
409 	37.74
410 	37.86
411 	42.71
412 	41.35
413 	40.58
414 	38.94
415 	38.90
416 	41.95
417 	41.12
418 	39.09
419 	35.73
420 	45.62
421 	37.19
422 	39.87
423 	39.27
424 	41.01
425 	37.30
426 	42.13
427 	41.10
428 	41.82
429 	40.37
430 	41.95
431 	44.15
432 	40.43
433 	38.91
434 	40.23
435 	42.57
436 	41.03
437 	39.30
438 	45.95
439 	39.50
440 	38.60
441 	45.28
442 	41.35
443 	37.45
444 	40.79
445 	41.35
446 	38.22
447 	43.28
448 	38.73
449 	45.07
450 	38.04
451 	40.98
452 	44.33
453 	38.44
454 	38.17
455 	36.53
456 	42.11
457 	39.95
458 	50.72
459 	42.44
460 	40.15
461 	37.78
462 	42.89
463 	40.27
464 	41.95
465 	40.46
466 	37.92
467 	38.92
468 	41.46
469 	39.36
470 	39.68
471 	39.17
472 	37.09
473 	41.29
474 	45.58
475 	37.87
476 	38.11
477 	37.29
478 	38.22
479 	46.17
480 	40.66
481 	38.86
482 	38.95
483 	39.53
484 	41.18
485 	40.04
486 	37.44
487 	39.18
488 	37.54
489 	44.59
490 	39.59
491 	41.12
492 	37.66
493 	38.26
494 	37.41
495 	40.80
496 	40.91
497 	36.92
498 	37.69
499 	38.03
500 	39.98
501 	39.52
502 	42.93
503 	41.92
504 	36.14
505 	38.08
506 	41.64
507 	41.33
508 	38.48
509 	40.70
510 	44.89
511 	43.41
512 	39.12
513 	45.61
514 	42.57
515 	37.99
516 	43.61
517 	38.40
518 	46.05
519 	39.50
520 	43.18
521 	38.60
522 	36.75
523 	48.35
524 	40.38
525 	37.90
526 	37.90
527 	41.01
528 	38.41
529 	41.97
530 	39.59
531 	41.22
532 	49.77
533 	37.01
534 	42.66
535 	46.51
536 	43.66
537 	37.84
538 	43.11
539 	38.93
540 	40.40
541 	38.70
542 	42.30
543 	36.63
544 	39.42
545 	40.02
546 	40.68
547 	38.25
548 	41.53
549 	39.79
550 	40.95
551 	41.83
552 	36.69
553 	41.14
554 	38.50
555 	40.61
556 	43.30
557 	38.83
558 	39.99
559 	41.58
560 	39.36
561 	37.40
562 	42.37
563 	40.40
564 	48.58
565 	37.12
566 	43.59
567 	42.83
568 	40.73
569 	39.82
570 	41.31
571 	39.39
572 	39.10
573 	38.99
574 	38.76
575 	39.07
576 	39.53
577 	40.98
578 	37.99
579 	40.19
580 	39.96
581 	39.88
582 	40.71
583 	36.13
584 	41.03
585 	38.65
586 	38.98
587 	38.73
588 	41.12
589 	37.60
590 	37.54
591 	39.51
592 	43.47
593 	44.35
594 	42.14
595 	40.47
596 	39.71
597 	37.04
598 	37.36
599 	38.50
600 	42.18
601 	40.15
602 	39.90
603 	40.59
604 	39.76
605 	41.70
606 	39.89
607 	36.89
608 	41.40
609 	44.16
610 	37.05
611 	39.38
612 	37.85
613 	42.65
614 	40.37
615 	42.98
616 	41.22
617 	42.59
618 	48.11
619 	39.98
620 	39.67
621 	42.83
622 	42.33
623 	39.19
624 	41.84
625 	37.83
626 	41.65
627 	41.00
628 	49.97
629 	41.70
630 	40.93
631 	40.67
632 	41.92
633 	40.96
634 	40.37
635 	37.00
636 	39.91
637 	38.60
638 	43.57
639 	37.35
640 	41.10
641 	40.31
642 	36.51
643 	41.59
644 	43.96
645 	39.41
646 	38.02
647 	43.34
648 	38.83
649 	40.73
650 	37.43
651 	42.82
652 	41.55
653 	39.90
654 	41.53
655 	41.22
656 	39.43
657 	37.84
658 	37.72
659 	42.41
660 	38.67
661 	44.88
662 	39.35
663 	40.18
664 	39.45
665 	40.35
666 	40.30
667 	37.92
668 	44.02
669 	44.94
670 	38.18
671 	42.92
672 	41.40
673 	39.41
674 	40.44
675 	40.49
676 	39.90
677 	39.12
678 	43.17
679 	40.34
680 	40.22
681 	39.74
682 	37.60
683 	40.53
684 	42.26
685 	42.63
686 	38.90
687 	39.14
688 	41.27
689 	36.77
690 	40.83
691 	40.30
692 	41.05
693 	37.63
694 	37.77
695 	37.73
696 	39.19
697 	38.71
698 	37.98
699 	42.39
700 	42.55
701 	42.73
702 	42.44
703 	44.77
704 	41.73
705 	42.20
706 	47.45
707 	38.87
708 	38.58
709 	44.09
710 	36.30
711 	39.88
712 	41.76
713 	38.57
714 	40.25
715 	45.24
716 	38.38
717 	42.16
718 	38.76
719 	40.50
720 	39.18
721 	38.74
722 	39.22
723 	37.85
724 	38.57
725 	42.79
726 	41.68
727 	41.25
728 	42.77
729 	37.14
730 	40.87
731 	39.81
732 	39.57
733 	38.43
734 	41.51
735 	41.17
736 	36.64
737 	37.88
738 	40.08
739 	42.80
740 	42.03
741 	44.85
742 	38.92
743 	43.85
744 	40.11
745 	41.99
746 	39.86
747 	37.67
748 	39.25
749 	37.00
750 	47.10
751 	46.13
752 	46.41
753 	39.10
754 	41.61
755 	47.94
756 	40.00
757 	39.33
758 	38.24
759 	39.12
760 	45.38
761 	39.04
762 	38.63
763 	37.97
764 	38.84
765 	41.92
766 	43.67
767 	43.02
768 	41.07
769 	40.19
770 	39.70
771 	45.43
772 	43.19
773 	36.91
774 	40.69
775 	36.81
776 	39.53
777 	41.48
778 	38.83
779 	39.06
780 	40.31
781 	39.29
782 	40.56
783 	38.27
784 	41.25
785 	38.62
786 	39.06
787 	39.72
788 	39.61
789 	41.70
790 	39.69
791 	46.48
792 	39.76
793 	39.46
794 	38.70
795 	39.00
796 	39.61
797 	39.49
798 	38.45
799 	40.11
800 	38.60
801 	42.37
802 	40.37
803 	39.73
804 	41.95
805 	37.85
806 	37.31
807 	45.95
808 	38.84
809 	39.44
810 	39.11
811 	45.35
812 	48.34
813 	44.27
814 	40.65
815 	42.59
816 	39.35
817 	38.86
818 	41.33
819 	42.86
820 	41.71
821 	40.67
822 	40.75
823 	41.93
824 	40.22
825 	37.47
826 	39.65
827 	40.78
828 	36.46
829 	45.28
830 	37.86
831 	41.32
832 	37.82
833 	40.49
834 	46.12
835 	42.52
836 	38.95
837 	44.20
838 	38.20
839 	41.09
840 	41.06
841 	44.95
842 	40.04
843 	40.39
844 	36.95
845 	41.32
846 	41.51
847 	44.85
848 	38.42
849 	39.61
850 	43.81
851 	39.39
852 	39.55
853 	44.16
854 	43.56
855 	39.54
856 	35.88
857 	41.21
858 	39.76
859 	39.16
860 	39.21
861 	37.97
862 	37.05
863 	36.32
864 	40.23
865 	39.25
866 	45.15
867 	37.73
868 	42.65
869 	39.56
870 	38.63
871 	39.21
872 	40.61
873 	39.71
874 	37.30
875 	40.39
876 	40.93
877 	42.30
878 	39.53
879 	46.62
880 	39.50
881 	39.92
882 	38.25
883 	37.99
884 	35.73
885 	39.25
886 	38.63
887 	40.70
888 	43.72
889 	43.65
890 	38.46
891 	37.86
892 	37.61
893 	38.89
894 	39.83
895 	42.25
896 	35.24
897 	41.40
898 	40.57
899 	36.90
900 	40.87
901 	41.75
902 	39.50
903 	42.61
904 	38.12
905 	46.02
906 	40.98
907 	41.22
908 	40.67
909 	40.82
910 	39.99
911 	41.90
912 	46.71
913 	39.95
914 	39.56
915 	38.10
916 	39.51
917 	38.82
918 	41.16
919 	47.36
920 	38.21
921 	38.95
922 	39.48
923 	39.66
924 	38.98
925 	42.19
926 	40.15
927 	40.65
928 	39.27
929 	39.31
930 	39.75
931 	40.75
932 	43.54
933 	40.19
934 	40.59
935 	37.81
936 	50.12
937 	47.22
938 	34.87
939 	41.30
940 	37.56
941 	41.46
942 	42.88
943 	43.23
944 	37.65
945 	39.54
946 	39.27
947 	41.20
948 	39.94
949 	40.98
950 	38.21
951 	37.31
952 	39.29
953 	41.87
954 	37.93
955 	39.54
956 	42.60
957 	41.75
958 	39.13
959 	40.77
960 	39.24
961 	40.96
962 	37.12
963 	38.32
964 	39.26
965 	39.66
966 	41.22
967 	39.78
968 	40.03
969 	40.26
970 	43.05
971 	38.81
972 	41.01
973 	40.11
974 	42.98
975 	39.10
976 	39.06
977 	41.18
978 	38.09
979 	39.50
980 	40.60
981 	41.36
982 	40.08
983 	39.22
984 	39.58
985 	38.76
986 	42.47
987 	37.40
988 	38.11
989 	36.62
990 	40.49
991 	40.03
992 	37.10
993 	38.87
994 	39.42
995 	49.78
996 	42.57
997 	39.59
998 	40.20
999 	37.48
1000 	41.57
1001 	39.40
1002 	39.60
1003 	38.32
1004 	51.75
1005 	41.11
1006 	37.66
1007 	38.23
1008 	37.81
1009 	48.06
1010 	43.39
1011 	38.92
1012 	44.12
1013 	38.72
1014 	38.62
1015 	46.05
1016 	44.72
1017 	38.04
1018 	40.13
1019 	38.45
1020 	38.35
1021 	37.83
1022 	41.27
1023 	39.49
1024 	42.23
1025 	36.06
1026 	38.85
1027 	44.48
1028 	37.73
1029 	43.98
1030 	43.04
1031 	40.77
1032 	40.05
1033 	39.13
1034 	39.90
1035 	36.85
1036 	41.36
1037 	40.28
1038 	40.53
1039 	42.28
1040 	39.02
1041 	41.15
1042 	38.33
1043 	42.41
1044 	40.42
1045 	41.64
1046 	45.46
1047 	45.05
1048 	42.55
1049 	39.52
1050 	39.59
1051 	38.40
1052 	41.74
1053 	40.84
1054 	37.11
1055 	42.01
1056 	38.98
1057 	40.89
1058 	40.94
1059 	38.49
1060 	42.46
1061 	38.28
1062 	40.30
1063 	37.89
1064 	42.05
1065 	39.71
1066 	40.77
1067 	40.47
1068 	39.07
1069 	37.72
1070 	39.19
1071 	38.45
1072 	40.55
1073 	42.46
1074 	40.80
1075 	49.41
1076 	41.59
1077 	40.57
1078 	41.31
1079 	39.31
1080 	38.07
1081 	39.99
1082 	40.05
1083 	42.74
1084 	37.73
1085 	40.09
1086 	38.81
1087 	40.68
1088 	40.01
1089 	37.86
1090 	40.22
1091 	41.38
1092 	41.51
1093 	39.09
1094 	40.74
1095 	40.82
1096 	40.57
1097 	38.88
1098 	37.80
1099 	41.54
1100 	44.76
1101 	47.71
1102 	42.16
1103 	40.82
1104 	38.01
1105 	39.94
1106 	42.30
1107 	38.69
1108 	38.66
1109 	42.06
1110 	41.69
1111 	41.13
1112 	36.16
1113 	40.20
1114 	41.72
1115 	43.16
1116 	37.98
1117 	42.12
1118 	41.72
1119 	44.82
1120 	40.75
1121 	40.54
1122 	39.16
1123 	36.25
1124 	39.57
1125 	48.45
1126 	38.92
1127 	39.44
1128 	40.35
1129 	39.22
1130 	43.50
1131 	39.28
1132 	41.79
1133 	40.11
1134 	43.87
1135 	40.86
1136 	38.08
1137 	39.96
1138 	40.62
1139 	37.15
1140 	40.06
1141 	40.76
1142 	44.51
1143 	40.56
1144 	40.43
1145 	39.30
1146 	41.45
1147 	43.07
1148 	40.19
1149 	43.30
1150 	39.16
1151 	38.72
1152 	39.80
1153 	50.26
1154 	41.00
1155 	38.03
1156 	39.77
1157 	42.04
1158 	41.13
1159 	39.15
1160 	41.07
1161 	36.14
1162 	39.36
1163 	38.12
1164 	41.53
1165 	37.90
1166 	37.62
1167 	37.80
1168 	41.29
1169 	40.37
1170 	41.46
1171 	40.74
1172 	40.88
1173 	38.31
1174 	46.92
1175 	42.46
1176 	40.55
1177 	42.56
1178 	34.76
1179 	39.11
1180 	43.75
1181 	39.96
1182 	42.97
1183 	40.90
1184 	39.28
1185 	41.50
1186 	37.86
1187 	40.03
1188 	38.91
1189 	39.27
1190 	38.33
1191 	39.67
1192 	39.42
1193 	41.24
1194 	40.62
1195 	40.03
1196 	41.42
1197 	39.76
1198 	41.42
1199 	41.01
1200 	40.80
1201 	40.75
1202 	36.21
1203 	43.14
1204 	49.12
1205 	42.44
1206 	40.84
1207 	39.37
1208 	39.68
1209 	40.89
1210 	40.96
1211 	41.01
1212 	51.13
1213 	41.31
1214 	42.71
1215 	39.37
1216 	42.63
1217 	38.78
1218 	41.98
1219 	38.48
1220 	39.48
1221 	39.39
1222 	37.14
1223 	40.38
1224 	41.34
1225 	40.21
1226 	47.06
1227 	41.24
1228 	39.87
1229 	37.13
1230 	39.92
1231 	39.39
1232 	41.12
1233 	41.89
1234 	37.87
1235 	37.76
1236 	38.71
1237 	42.79
1238 	41.58
1239 	40.85
1240 	39.97
1241 	37.22
1242 	43.56
1243 	39.29
1244 	40.82
1245 	38.14
1246 	37.18
1247 	40.12
1248 	41.79
1249 	42.16
1250 	40.60
1251 	41.10
1252 	37.70
1253 	42.43
1254 	46.43
1255 	42.41
1256 	37.68
1257 	40.94
1258 	40.46
1259 	40.53
1260 	44.27
1261 	40.78
1262 	40.88
1263 	38.06
1264 	42.15
1265 	37.42
1266 	50.26
1267 	40.47
1268 	40.20
1269 	40.24
1270 	39.13
1271 	38.94
1272 	40.38
1273 	36.84
1274 	40.62
1275 	40.37
1276 	42.50
1277 	39.14
1278 	39.06
1279 	47.41
1280 	37.50
1281 	40.26
1282 	40.73
1283 	41.26
1284 	39.35
1285 	37.36
1286 	38.77
1287 	38.68
1288 	40.11
1289 	38.07
1290 	39.76
1291 	40.30
1292 	37.75
1293 	41.00
1294 	42.02
1295 	42.62
1296 	39.03
1297 	43.05
1298 	45.89
1299 	41.75
1300 	45.04
1301 	38.74
1302 	39.21
1303 	40.86
1304 	37.60
1305 	36.07
1306 	41.11
1307 	41.72
1308 	38.62
1309 	38.26
1310 	40.39
1311 	51.16
1312 	37.51
1313 	40.08
1314 	39.16
1315 	40.80
1316 	41.06
1317 	41.90
1318 	42.63
1319 	39.14
1320 	37.37
1321 	38.55
1322 	37.97
1323 	38.88
1324 	38.81
1325 	43.79
1326 	38.98
1327 	39.69
1328 	42.40
1329 	39.22
1330 	38.37
1331 	41.14
1332 	38.76
1333 	40.09
1334 	41.06
1335 	40.03
1336 	41.97
1337 	41.87
1338 	42.25
1339 	40.54
1340 	38.80
1341 	37.47
1342 	41.49
1343 	38.24
1344 	40.20
1345 	41.92
1346 	38.23
1347 	38.15
1348 	36.45
1349 	37.72
1350 	40.59
1351 	48.58
1352 	39.90
1353 	39.64
1354 	42.94
1355 	37.64
1356 	43.41
1357 	39.00
1358 	39.78
1359 	41.98
1360 	39.43
1361 	39.23
1362 	41.35
1363 	37.41
1364 	40.88
1365 	42.64
1366 	48.01
1367 	41.67
1368 	44.50
1369 	43.20
1370 	37.17
1371 	40.94
1372 	36.28
1373 	42.25
1374 	38.09
1375 	43.03
1376 	38.82
1377 	40.04
1378 	37.92
1379 	39.85
1380 	34.94
1381 	47.78
1382 	40.29
1383 	35.59
1384 	39.74
1385 	40.26
1386 	46.25
1387 	41.06
1388 	42.88
1389 	40.00
1390 	40.72
1391 	36.13
1392 	39.72
1393 	41.68
1394 	41.95
1395 	38.56
1396 	41.84
1397 	41.86
1398 	41.07
1399 	38.30
1400 	40.90
1401 	41.70
1402 	38.73
1403 	39.29
1404 	38.56
1405 	37.72
1406 	40.63
1407 	39.15
1408 	40.49
1409 	43.27
1410 	37.06
1411 	39.75
1412 	44.32
1413 	38.88
1414 	39.38
1415 	38.22
1416 	42.48
1417 	42.05
1418 	40.95
1419 	37.44
1420 	36.68
1421 	39.37
1422 	37.77
1423 	40.00
1424 	40.74
1425 	39.39
1426 	40.34
1427 	37.64
1428 	41.74
1429 	40.88
1430 	39.69
1431 	38.80
1432 	34.90
1433 	37.81
1434 	39.99
1435 	40.31
1436 	42.24
1437 	40.88
1438 	38.29
1439 	38.76
1440 	38.67
1441 	46.68
1442 	41.43
1443 	39.08
1444 	36.73
1445 	42.06
1446 	39.94
1447 	46.04
1448 	44.50
1449 	41.21
1450 	38.22
1451 	42.21
1452 	39.90
1453 	34.84
1454 	43.88
1455 	38.98
1456 	38.26
1457 	37.51
1458 	39.94
1459 	43.75
1460 	38.22
1461 	36.99
1462 	39.85
1463 	41.36
1464 	42.97
1465 	37.23
1466 	40.17
1467 	38.99
1468 	42.30
1469 	40.08
1470 	39.33
1471 	40.60
1472 	40.09
1473 	47.17
1474 	39.94
1475 	42.18
1476 	38.24
1477 	44.79
1478 	38.66
1479 	37.90
1480 	41.16
1481 	40.67
1482 	41.66
1483 	42.62
1484 	40.52
1485 	40.26
1486 	36.31
1487 	42.21
1488 	36.10
1489 	41.05
1490 	40.51
1491 	42.96
1492 	38.78
1493 	43.99
1494 	40.34
1495 	40.15
1496 	39.75
1497 	40.57
1498 	37.82
1499 	39.13
1500 	38.73
1501 	39.91
1502 	42.84
1503 	40.42
1504 	41.07
1505 	38.46
1506 	42.27
1507 	39.13
1508 	37.02
1509 	43.81
1510 	35.51
1511 	41.15
1512 	45.83
1513 	37.59
1514 	38.25
1515 	41.70
1516 	50.24
1517 	37.68
1518 	39.53
1519 	39.67
1520 	43.04
1521 	37.66
1522 	40.74
1523 	37.22
1524 	39.31
1525 	40.29
1526 	41.72
1527 	40.22
1528 	41.74
1529 	51.21
1530 	42.62
1531 	40.88
1532 	40.05
1533 	39.00
1534 	38.49
1535 	40.64
1536 	40.45
1537 	38.30
1538 	38.64
1539 	49.38
1540 	40.63
1541 	39.25
1542 	37.43
1543 	41.25
1544 	37.06
1545 	41.65
1546 	42.98
1547 	47.30
1548 	39.43
1549 	39.99
1550 	40.90
1551 	40.15
1552 	37.80
1553 	39.85
1554 	37.43
1555 	41.31
1556 	39.56
1557 	36.96
1558 	39.15
1559 	38.69
1560 	40.71
1561 	39.37
1562 	38.06
1563 	40.55
1564 	38.98
1565 	41.13
1566 	41.14
1567 	42.65
1568 	40.70
1569 	39.40
1570 	45.73
1571 	41.75
1572 	39.62
1573 	38.89
1574 	41.98
1575 	39.66
1576 	45.71
1577 	38.87
1578 	37.89
1579 	39.58
1580 	42.25
1581 	39.18
1582 	39.21
1583 	35.59
1584 	38.71
1585 	36.48
1586 	39.74
1587 	40.77
1588 	39.89
1589 	47.57
1590 	41.92
1591 	35.46
1592 	43.75
1593 	40.66
1594 	40.30
1595 	41.84
1596 	39.34
1597 	38.26
1598 	40.32
1599 	53.10
1600 	40.97
1601 	37.19
1602 	41.44
1603 	42.84
1604 	40.98
1605 	42.05
1606 	43.51
1607 	42.83
1608 	39.14
1609 	40.86
1610 	38.20
1611 	41.88
1612 	42.26
1613 	36.58
1614 	38.58
1615 	45.91
1616 	41.27
1617 	38.10
1618 	42.37
1619 	39.23
1620 	39.59
1621 	50.77
1622 	39.41
1623 	44.13
1624 	40.88
1625 	39.62
1626 	35.83
1627 	38.30
1628 	39.34
1629 	42.03
1630 	36.51
1631 	40.19
1632 	38.86
1633 	40.98
1634 	44.46
1635 	40.35
1636 	40.38
1637 	40.09
1638 	37.69
1639 	38.08
1640 	38.88
1641 	39.71
1642 	41.79
1643 	37.93
1644 	38.59
1645 	40.75
1646 	36.95
1647 	38.49
1648 	44.21
1649 	39.91
1650 	40.15
1651 	40.58
1652 	37.62
1653 	40.12
1654 	36.43
1655 	39.24
1656 	36.75
1657 	37.27
1658 	39.93
1659 	38.54
1660 	38.72
1661 	41.19
1662 	39.41
1663 	42.52
1664 	38.90
1665 	41.51
1666 	37.51
1667 	40.91
1668 	39.51
1669 	37.81
1670 	38.69
1671 	39.66
1672 	38.01
1673 	42.72
1674 	36.92
1675 	40.11
1676 	40.74
1677 	39.08
1678 	39.44
1679 	39.54
1680 	42.09
1681 	37.30
1682 	39.14
1683 	42.40
1684 	41.84
1685 	43.16
1686 	46.25
1687 	41.49
1688 	39.69
1689 	40.55
1690 	40.79
1691 	41.33
1692 	40.36
1693 	38.77
1694 	38.77
1695 	40.47
1696 	41.00
1697 	39.55
1698 	37.39
1699 	40.51
1700 	40.76
1701 	36.84
1702 	37.85
1703 	42.14
1704 	43.39
1705 	43.54
1706 	37.90
1707 	41.39
1708 	40.90
1709 	40.19
1710 	40.84
1711 	40.77
1712 	42.18
1713 	39.67
1714 	37.88
1715 	38.94
1716 	36.84
1717 	42.07
1718 	38.95
1719 	40.31
1720 	41.22
1721 	40.23
1722 	35.67
1723 	39.92
1724 	35.88
1725 	38.57
1726 	38.48
1727 	41.26
1728 	39.73
1729 	41.23
1730 	37.49
1731 	37.58
1732 	38.89
1733 	41.79
1734 	41.17
1735 	38.68
1736 	40.21
1737 	39.76
1738 	38.73
1739 	41.76
1740 	42.44
1741 	41.16
1742 	38.99
1743 	38.57
1744 	40.10
1745 	47.60
1746 	36.97
1747 	39.24
1748 	41.78
1749 	39.88
1750 	37.51
1751 	36.04
1752 	39.11
1753 	40.57
1754 	36.41
1755 	40.50
1756 	40.55
1757 	40.55
1758 	39.55
1759 	37.76
1760 	39.84
1761 	39.96
1762 	41.97
1763 	40.58
1764 	44.54
1765 	40.00
1766 	40.42
1767 	40.68
1768 	41.97
1769 	39.57
1770 	41.59
1771 	39.83
1772 	37.82
1773 	37.32
1774 	40.49
1775 	42.48
1776 	41.94
1777 	49.21
1778 	42.53
1779 	41.67
1780 	42.73
1781 	39.44
1782 	38.41
1783 	39.22
1784 	43.17
1785 	40.53
1786 	47.79
1787 	46.20
1788 	39.29
1789 	44.00
1790 	37.31
1791 	37.10
1792 	37.80
1793 	37.97
1794 	40.28
1795 	39.73
1796 	41.66
1797 	37.78
1798 	43.86
1799 	40.87
1800 	38.02
1801 	38.56
1802 	37.26
1803 	37.68
1804 	40.82
1805 	44.84
1806 	38.86
1807 	41.16
1808 	41.05
1809 	40.56
1810 	39.20
1811 	40.58
1812 	42.55
1813 	40.45
1814 	43.07
1815 	46.18
1816 	43.24
1817 	41.31
1818 	45.61
1819 	37.75
1820 	38.44
1821 	40.93
1822 	41.15
1823 	40.50
1824 	35.11
1825 	36.69
1826 	38.56
1827 	42.07
1828 	40.08
1829 	38.39
1830 	40.77
1831 	38.24
1832 	42.78
1833 	39.41
1834 	41.51
1835 	38.57
1836 	39.35
1837 	44.20
1838 	39.42
1839 	41.28
1840 	40.17
1841 	40.48
1842 	41.39
1843 	39.31
1844 	38.34
1845 	36.94
1846 	41.39
1847 	39.40
1848 	41.23
1849 	39.51
1850 	37.88
1851 	42.19
1852 	40.72
1853 	38.39
1854 	41.86
1855 	42.02
1856 	38.22
1857 	39.60
1858 	40.23
1859 	42.69
1860 	42.90
1861 	38.92
1862 	41.82
1863 	40.69
1864 	40.36
1865 	38.70
1866 	41.78
1867 	36.22
1868 	41.89
1869 	41.06
1870 	41.47
1871 	41.16
1872 	38.65
